homelander|HEART,FLAME,FEATHER
iron_man|SHIELD,FEATHER,REACTOR
regulus|HEART,SHIELD,STAR,SKULL
sung_jinwoo|SHADOW,SHIELD,EYE,HEART
doomsday|FIST,STAR,HEART,BOLT,SKULL
goku|FIST,BOLT,FEATHER
naruto|FIST,BOLT,SKULL
captain_america|SHIELD,FIST,FEATHER
kratos|FIST,SWORD,SHIELD,BOLT
loki|MAGIC,FEATHER,BOLT
thanos|FIST,SHIELD,STAR,COSMIC
reinhard|FEATHER,SHIELD,STAR,SWORD,HEART,BOLT
raiden_shogun|
invincible|SHIELD,FIST,FEATHER,HEART
omniman|FIST,BOLT,FEATHER,HEART
kazuha|LEAF,SWORD,FEATHER
scaramouche|SPIRAL,FIST,FEATHER
battle_beast|BEAST,FIST,FLAME
rem|ICE,SKULL,HEART
a_train|BOLT,HEART,FIST
scorpion|
pandora|
